ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.85;0.06;-0.01;1690;0.00;0.00;0.00;-0.08;0.01;-0.00;0.72
-0.84;0.12;0.06;1690;0.02;0.63;0.63;-0.17;0.02;0.00;0.73
-1.31;0.12;0.21;1690;-4.61;0.01;1.57;-0.30;0.03;0.03;1.77
-0.71;-0.25;-0.88;1691;5.93;-3.77;-10.95;-0.37;0.01;-0.06;1.35
-0.39;0.07;-0.17;1691;3.18;3.23;7.13;-0.41;0.01;-0.08;0.19
-0.71;0.01;-0.34;1691;-3.14;-0.56;-1.75;-0.48;0.01;-0.11;0.62
-1.00;0.23;-0.52;1691;-2.89;2.16;-1.72;-0.58;0.04;-0.17;1.31
-0.71;-0.00;-0.25;1691;2.84;-2.32;2.70;-0.65;0.04;-0.19;0.57
-0.58;0.08;-0.12;1691;1.29;0.79;1.31;-0.71;0.04;-0.20;0.36
-1.08;0.42;-0.13;1691;-4.92;3.46;-0.11;-0.82;0.09;-0.21;1.35
-1.41;-0.59;0.28;1691;-3.30;-10.13;4.04;-0.96;0.03;-0.19;2.41
-0.79;0.18;0.07;1691;6.22;7.72;-2.03;-1.04;0.05;-0.18;0.65
-0.86;-0.11;0.08;1691;-0.71;-2.87;0.07;-1.12;0.03;-0.17;0.75
-0.87;-0.04;0.05;1692;-0.12;0.66;-0.36;-1.21;0.03;-0.17;0.76
-0.86;0.12;0.06;1692;0.08;1.55;0.13;-1.30;0.04;-0.16;0.76
-0.89;0.06;0.10;1692;-0.28;-0.52;0.47;-1.39;0.05;-0.15;0.80
-1.36;0.63;0.25;1692;-4.76;5.65;1.47;-1.52;0.11;-0.12;2.32
-0.53;0.06;-0.98;1692;8.35;-5.68;-12.28;-1.57;0.12;-0.22;1.24
-0.38;0.35;-0.19;1692;1.51;2.93;7.87;-1.61;0.15;-0.24;0.30
-0.74;-0.42;-0.50;1692;-3.58;-7.73;-3.12;-1.69;0.11;-0.29;0.97
-0.93;0.33;-0.45;1692;-1.98;7.48;0.49;-1.78;0.14;-0.34;1.18
-0.75;-0.07;-0.15;1692;1.85;-3.98;2.99;-1.85;0.14;-0.35;0.59
-0.68;0.08;0.00;1692;0.67;1.47;1.53;-1.92;0.14;-0.35;0.47
-0.41;0.86;-0.21;1693;2.75;7.79;-2.15;-1.96;0.23;-0.37;0.95
-1.10;-0.54;0.08;1693;-6.93;-13.99;2.92;-2.07;0.18;-0.37;1.51
-0.83;0.06;-0.02;1693;2.72;6.00;-1.00;-2.16;0.18;-0.37;0.69
-0.85;0.07;0.00;1693;-0.24;0.16;0.28;-2.24;0.19;-0.37;0.73
-0.84;-0.05;0.11;1693;0.10;-1.25;1.03;-2.33;0.18;-0.36;0.72
-0.93;0.02;-0.01;1693;-0.83;0.76;-1.20;-2.42;0.19;-0.36;0.86
-1.28;0.08;0.17;1693;-3.59;0.62;1.83;-2.55;0.19;-0.34;1.69
-0.89;-0.11;-0.18;1693;3.96;-1.99;-3.55;-2.64;0.18;-0.36;0.84
-0.65;-0.27;-0.27;1693;2.38;-1.54;-0.85;-2.70;0.16;-0.39;0.57
-0.61;0.15;-0.29;1693;0.44;4.15;-0.17;-2.76;0.17;-0.41;0.47
-0.87;0.05;-0.32;1694;-2.68;-0.97;-0.34;-2.85;0.18;-0.45;0.87
-0.81;0.22;-0.40;1694;0.62;1.66;-0.75;-2.93;0.20;-0.49;0.86
-0.42;0.14;-0.09;1694;3.96;-0.72;3.10;-2.97;0.21;-0.50;0.20
-0.69;0.02;-0.22;1694;-2.75;-1.26;-1.30;-3.04;0.21;-0.52;0.52
-1.35;-0.23;0.02;1694;-6.63;-2.47;2.36;-3.18;0.19;-0.51;1.89
-0.88;-0.01;0.07;1694;4.72;2.23;0.52;-3.26;0.19;-0.51;0.78
-0.83;-0.11;0.05;1694;0.55;-1.03;-0.25;-3.35;0.18;-0.50;0.70
-0.85;0.01;-0.06;1694;-0.26;1.19;-1.03;-3.43;0.18;-0.51;0.73
-0.83;0.08;0.01;1694;0.23;0.70;0.67;-3.52;0.19;-0.51;0.70
-0.93;0.16;0.01;1694;-0.96;0.78;0.03;-3.61;0.20;-0.51;0.88
-1.30;0.41;0.14;1695;-3.75;2.56;1.26;-3.74;0.24;-0.49;1.88
-0.62;-0.22;-0.70;1695;6.78;-6.32;-8.44;-3.80;0.22;-0.56;0.93
-0.49;0.26;-0.26;1695;1.30;4.82;4.46;-3.85;0.25;-0.59;0.38
-0.69;0.02;-0.42;1695;-1.91;-2.43;-1.62;-3.92;0.25;-0.63;0.65
-1.00;0.38;-0.54;1695;-3.12;3.64;-1.15;-4.02;0.29;-0.68;1.43
-0.57;-0.03;-0.24;1695;4.26;-4.09;2.93;-4.08;0.29;-0.71;0.39
-0.85;0.25;0.90;1695;-2.81;2.75;11.46;-4.16;0.31;-0.62;1.61
-0.87;0.29;-0.28;1695;-0.15;0.36;-11.88;-4.25;0.34;-0.65;0.92
-0.69;-0.17;-0.01;1695;1.74;-4.58;2.73;-4.32;0.32;-0.65;0.51
-0.85;0.01;0.11;1695;-1.56;1.83;1.23;-4.40;0.32;-0.64;0.74
-0.84;-0.02;0.18;1696;0.12;-0.32;0.65;-4.49;0.32;-0.62;0.73
-0.82;0.06;0.06;1696;0.14;0.81;-1.15;-4.57;0.33;-0.61;0.69
-0.86;0.11;-0.04;1696;-0.33;0.54;-1.05;-4.65;0.34;-0.62;0.75
-0.87;0.11;0.02;1696;-0.08;-0.07;0.59;-4.74;0.35;-0.61;0.76
-1.32;0.39;0.05;1696;-4.50;2.81;0.31;-4.87;0.39;-0.61;1.88
-0.49;-0.31;-0.65;1696;8.22;-6.94;-6.97;-4.92;0.36;-0.67;0.76
-0.46;0.21;-0.26;1696;0.39;5.21;3.90;-4.97;0.38;-0.70;0.32
-0.70;-0.12;-0.42;1696;-2.43;-3.36;-1.65;-5.04;0.36;-0.74;0.68
-0.82;0.14;-0.56;1696;-1.24;2.63;-1.33;-5.12;0.38;-0.80;1.01
-0.79;-0.22;-0.38;1696;0.32;-3.64;1.82;-5.20;0.36;-0.84;0.82
-0.66;-0.40;-0.64;1697;1.33;-1.72;-2.66;-5.26;0.32;-0.90;1.00
-0.87;0.62;-0.16;1697;-2.10;10.18;4.79;-5.35;0.38;-0.92;1.16
-0.83;0.21;-0.05;1697;0.35;-4.12;1.17;-5.43;0.40;-0.92;0.74
-0.80;0.51;0.00;1697;0.28;3.00;0.47;-5.51;0.45;-0.92;0.91
-0.88;0.15;0.04;1697;-0.76;-3.63;0.38;-5.60;0.47;-0.92;0.80
-0.87;0.18;0.08;1697;0.14;0.30;0.37;-5.69;0.48;-0.91;0.79
-0.79;0.21;0.07;1697;0.77;0.30;-0.02;-5.77;0.50;-0.90;0.67
-0.86;0.06;0.13;1697;-0.69;-1.53;0.56;-5.85;0.51;-0.89;0.76
-0.82;0.09;0.21;1697;0.37;0.39;0.83;-5.94;0.52;-0.87;0.73
-0.98;-0.57;-0.18;1697;-1.54;-6.66;-3.95;-6.03;0.46;-0.89;1.31
-0.69;0.28;-0.18;1698;2.83;8.56;-0.02;-6.10;0.49;-0.91;0.59
-0.84;-0.23;-0.20;1698;-1.51;-5.13;-0.12;-6.19;0.47;-0.93;0.80
-0.87;0.03;-0.21;1698;-0.24;2.63;-0.12;-6.27;0.47;-0.95;0.80
-0.88;0.06;-0.18;1698;-0.07;0.22;0.31;-6.36;0.48;-0.96;0.80
-0.77;0.08;0.00;1698;1.07;0.22;1.79;-6.44;0.48;-0.96;0.60
-1.44;0.72;0.64;1698;-6.67;6.40;6.37;-6.58;0.56;-0.90;2.99
-0.39;0.66;-0.30;1698;10.43;-0.63;-9.36;-6.62;0.62;-0.93;0.67
-0.82;-0.02;0.16;1698;-4.28;-6.79;4.53;-6.70;0.62;-0.91;0.70
-0.91;-0.02;0.06;1698;-0.91;0.05;-0.92;-6.79;0.62;-0.91;0.84
-0.82;0.10;0.04;1698;0.94;1.15;-0.21;-6.88;0.63;-0.90;0.68
-0.81;0.06;0.05;1699;0.03;-0.40;0.07;-6.96;0.63;-0.90;0.67
-0.83;-0.02;0.09;1699;-0.19;-0.74;0.39;-7.04;0.63;-0.89;0.70
-0.90;0.23;0.09;1699;-0.69;2.50;0.02;-7.13;0.65;-0.88;0.88
-1.20;0.35;0.29;1699;-2.93;1.17;1.96;-7.25;0.69;-0.85;1.64
-1.04;-0.03;0.13;1699;1.55;-3.82;-1.52;-7.36;0.69;-0.84;1.10
-0.82;0.13;-0.26;1699;2.22;1.57;-3.94;-7.44;0.70;-0.86;0.75
-0.74;-0.28;-0.35;1699;0.83;-4.02;-0.95;-7.51;0.67;-0.90;0.75
-0.62;0.27;-0.40;1699;1.17;5.48;-0.42;-7.57;0.70;-0.94;0.61
-0.49;-0.02;-0.15;1699;1.27;-2.88;2.47;-7.62;0.70;-0.95;0.27
-0.37;0.45;-0.37;1699;1.18;4.65;-2.24;-7.66;0.74;-0.99;0.48
-1.34;-0.46;0.12;16910;-9.68;-9.13;4.90;-7.79;0.69;-0.98;2.03
-0.80;0.04;0.07;16910;5.38;5.07;-0.49;-7.87;0.70;-0.97;0.65
-0.84;0.01;0.01;16910;-0.34;-0.35;-0.59;-7.96;0.70;-0.97;0.70
-0.87;-0.03;0.03;16910;-0.29;-0.37;0.23;-8.04;0.70;-0.97;0.75
-0.88;0.03;0.15;16910;-0.12;0.58;1.22;-8.13;0.70;-0.95;0.80
-1.00;0.24;0.08;16910;-1.20;2.11;-0.75;-8.23;0.72;-0.95;1.06
-1.22;-0.04;0.20;16910;-2.26;-2.81;1.18;-8.35;0.72;-0.93;1.54
-0.97;-0.59;-0.23;16910;2.52;-5.51;-4.23;-8.45;0.66;-0.95;1.35
-0.60;0.25;-0.28;16910;3.76;8.41;-0.53;-8.51;0.68;-0.98;0.50
