ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.78;-0.54;0.52;224759;0.00;0.00;0.00;-0.08;-0.05;0.05;1.16
-0.85;-0.15;0.34;224759;-0.69;3.88;-1.77;-0.16;-0.07;0.09;0.86
-0.83;0.08;0.27;224759;0.19;2.26;-0.75;-0.25;-0.06;0.11;0.76
-0.79;0.14;0.26;224759;0.43;0.65;-0.04;-0.32;-0.05;0.14;0.71
-0.75;0.36;0.39;224759;0.34;2.18;1.28;-0.40;-0.01;0.18;0.85
-0.84;0.12;0.39;224759;-0.88;-2.34;-0.01;-0.48;0.00;0.22;0.87
-0.85;0.07;0.26;224759;-0.13;-0.50;-1.28;-0.57;0.01;0.24;0.80
-0.79;-0.08;0.32;224759;0.59;-1.55;0.59;-0.65;0.00;0.28;0.74
-0.79;-0.64;0.50;22480;0.00;-5.55;1.75;-0.73;-0.06;0.33;1.28
-0.73;-0.60;0.56;22480;0.66;0.38;0.63;-0.80;-0.12;0.38;1.20
-0.83;-0.21;0.34;22480;-1.04;3.88;-2.20;-0.88;-0.14;0.42;0.85
-0.83;0.02;0.29;22480;0.03;2.31;-0.49;-0.97;-0.14;0.44;0.77
-0.76;0.43;0.22;22480;0.73;4.13;-0.67;-1.04;-0.10;0.47;0.81
-0.77;0.24;0.45;22480;-0.15;-1.95;2.27;-1.12;-0.07;0.51;0.85
-0.78;0.30;0.35;22480;-0.13;0.56;-1.03;-1.20;-0.04;0.55;0.82
-0.82;0.00;0.34;22480;-0.38;-2.93;-0.09;-1.28;-0.04;0.58;0.79
-0.84;-0.09;0.31;22480;-0.15;-0.90;-0.29;-1.36;-0.05;0.61;0.80
-0.79;-0.50;0.46;22480;0.44;-4.07;1.49;-1.44;-0.10;0.66;1.08
-0.74;-0.69;0.56;22481;0.54;-1.93;1.03;-1.52;-0.17;0.71;1.33
-0.83;-0.39;0.40;22481;-0.96;3.03;-1.60;-1.60;-0.21;0.75;1.00
