ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
0.03;-0.04;-0.82;16050;0.00;0.00;0.00;0.00;-0.00;-0.08;0.67
0.03;-0.03;-0.82;16050;-0.00;0.06;-0.03;0.01;-0.01;-0.16;0.67
0.04;-0.03;-0.83;16051;0.07;-0.01;-0.06;0.01;-0.01;-0.25;0.69
0.04;-0.04;-0.82;16051;-0.04;-0.03;0.06;0.01;-0.01;-0.33;0.68
0.04;-0.04;-0.82;16051;0.01;-0.02;-0.01;0.02;-0.02;-0.41;0.68
0.04;-0.04;-0.82;16051;-0.02;0.00;0.02;0.02;-0.02;-0.49;0.67
0.03;-0.04;-0.81;16051;-0.01;0.01;0.05;0.03;-0.03;-0.57;0.67
0.03;-0.04;-0.81;16051;-0.00;0.02;0.00;0.03;-0.03;-0.66;0.67
0.03;-0.04;-0.82;16051;-0.04;-0.00;-0.05;0.03;-0.03;-0.74;0.67
0.04;-0.04;-0.82;16051;0.07;-0.00;-0.00;0.04;-0.04;-0.82;0.68
0.04;-0.04;-0.81;16051;0.01;0.02;0.05;0.04;-0.04;-0.90;0.67
0.04;-0.04;-0.82;16051;0.00;0.00;-0.05;0.04;-0.04;-0.98;0.67
0.03;-0.04;-0.82;16052;-0.06;-0.01;0.01;0.05;-0.05;-1.06;0.67
0.03;-0.04;-0.82;16052;0.03;-0.00;0.02;0.05;-0.05;-1.15;0.67
0.03;-0.04;-0.82;16052;-0.00;0.02;-0.04;0.05;-0.06;-1.23;0.68
0.04;-0.04;-0.82;16052;0.03;-0.01;0.06;0.06;-0.06;-1.31;0.67
0.04;-0.04;-0.82;16052;-0.02;-0.03;-0.02;0.06;-0.06;-1.39;0.67
0.03;-0.04;-0.82;16052;-0.00;0.01;0.00;0.06;-0.07;-1.47;0.67
0.04;-0.04;-0.82;16052;0.00;0.00;-0.00;0.07;-0.07;-1.56;0.67
0.04;-0.04;-0.83;16052;0.00;0.01;-0.08;0.07;-0.07;-1.64;0.68
0.04;-0.04;-0.82;16052;0.00;-0.00;0.07;0.07;-0.08;-1.72;0.67
0.03;-0.04;-0.82;16052;-0.03;-0.00;-0.03;0.08;-0.08;-1.80;0.68
0.04;-0.04;-0.82;16053;0.03;0.01;-0.02;0.08;-0.09;-1.88;0.68
0.03;-0.04;-0.82;16053;-0.00;-0.02;0.08;0.08;-0.09;-1.97;0.67
0.03;-0.04;-0.82;16053;-0.02;-0.02;-0.01;0.09;-0.09;-2.05;0.67
0.03;-0.04;-0.82;16053;-0.03;0.03;-0.00;0.09;-0.10;-2.13;0.67
0.03;-0.04;-0.82;16053;0.05;0.01;-0.04;0.09;-0.10;-2.21;0.68
0.03;-0.04;-0.82;16053;0.00;-0.02;0.02;0.10;-0.10;-2.29;0.67
0.04;-0.03;-0.81;16053;0.04;0.03;0.04;0.10;-0.11;-2.38;0.67
0.03;-0.04;-0.82;16053;-0.06;-0.02;-0.06;0.10;-0.11;-2.46;0.68
0.03;-0.04;-0.82;16053;0.01;0.00;0.03;0.11;-0.11;-2.54;0.67
0.04;-0.04;-0.82;16053;0.02;-0.07;0.00;0.11;-0.12;-2.62;0.67
0.03;-0.03;-0.82;16054;-0.02;0.11;0.02;0.12;-0.12;-2.70;0.67
0.03;-0.04;-0.82;16054;-0.02;-0.06;-0.03;0.12;-0.13;-2.78;0.67
0.03;-0.04;-0.82;16054;-0.00;-0.02;-0.03;0.12;-0.13;-2.87;0.68
0.04;-0.04;-0.82;16054;0.04;0.01;0.03;0.12;-0.13;-2.95;0.67
0.03;-0.04;-0.82;16054;-0.02;0.02;0.01;0.13;-0.14;-3.03;0.67
0.03;-0.04;-0.81;16054;-0.01;-0.04;0.06;0.13;-0.14;-3.11;0.66
0.04;-0.03;-0.82;16054;0.03;0.06;-0.09;0.13;-0.15;-3.19;0.67
0.03;-0.03;-0.82;16054;-0.01;0.02;0.04;0.14;-0.15;-3.27;0.67
0.04;-0.04;-0.81;16054;0.02;-0.04;0.02;0.14;-0.15;-3.36;0.66
0.04;-0.04;-0.81;16054;0.00;0.00;-0.00;0.15;-0.16;-3.44;0.67
0.04;-0.04;-0.82;16055;0.00;-0.02;-0.04;0.15;-0.16;-3.52;0.67
0.03;-0.04;-0.82;16055;-0.02;-0.00;-0.00;0.15;-0.16;-3.60;0.67
0.04;-0.03;-0.82;16055;0.01;0.04;0.02;0.16;-0.17;-3.68;0.67
0.03;-0.04;-0.82;16055;-0.01;-0.04;-0.01;0.16;-0.17;-3.76;0.67
0.04;-0.03;-0.82;16055;0.01;0.04;-0.02;0.16;-0.17;-3.85;0.68
0.04;-0.04;-0.82;16055;0.00;-0.03;0.04;0.17;-0.18;-3.93;0.67
0.04;-0.04;-0.82;16055;0.01;0.01;-0.04;0.17;-0.18;-4.01;0.68
0.04;-0.04;-0.82;16055;-0.01;0.00;0.01;0.17;-0.19;-4.09;0.67
0.04;-0.04;-0.82;16055;0.00;-0.03;-0.02;0.18;-0.19;-4.17;0.68
0.04;-0.04;-0.82;16055;0.01;0.02;0.04;0.18;-0.19;-4.26;0.67
0.03;-0.03;-0.81;16056;-0.02;0.02;0.03;0.18;-0.20;-4.34;0.66
0.04;-0.04;-0.82;16056;0.01;-0.04;-0.10;0.19;-0.20;-4.42;0.68
0.03;-0.04;-0.82;16056;-0.02;0.00;0.06;0.19;-0.20;-4.50;0.67
0.03;-0.03;-0.82;16056;-0.01;0.05;0.00;0.19;-0.21;-4.58;0.67
0.03;-0.04;-0.82;16056;0.01;-0.03;-0.03;0.20;-0.21;-4.66;0.68
0.03;-0.04;-0.81;16056;-0.03;-0.03;0.10;0.20;-0.22;-4.75;0.66
0.03;-0.04;-0.82;16056;0.01;0.03;-0.08;0.20;-0.22;-4.83;0.67
0.03;-0.03;-0.82;16056;-0.00;0.05;0.03;0.21;-0.22;-4.91;0.67
0.04;-0.04;-0.82;16056;0.05;-0.04;-0.01;0.21;-0.23;-4.99;0.67
0.04;-0.04;-0.81;16056;-0.02;-0.03;0.02;0.21;-0.23;-5.07;0.67
0.03;-0.03;-0.82;16057;-0.04;0.05;-0.09;0.22;-0.23;-5.15;0.68
0.03;-0.04;-0.82;16057;0.01;-0.05;0.08;0.22;-0.24;-5.24;0.67
0.03;-0.04;-0.82;16057;0.01;0.02;-0.03;0.22;-0.24;-5.32;0.67
0.04;-0.04;-0.81;16057;0.03;0.01;0.08;0.23;-0.24;-5.40;0.66
0.03;-0.04;-0.82;16057;-0.02;-0.01;-0.05;0.23;-0.25;-5.48;0.67
0.03;-0.04;-0.81;16057;-0.02;-0.00;0.02;0.23;-0.25;-5.56;0.67
0.03;-0.04;-0.82;16057;-0.00;0.01;-0.03;0.24;-0.26;-5.64;0.67
0.03;-0.04;-0.82;16057;0.01;-0.01;-0.01;0.24;-0.26;-5.73;0.67
0.04;-0.04;-0.82;16057;0.05;0.04;-0.04;0.25;-0.26;-5.81;0.68
0.04;-0.04;-0.81;16057;-0.01;-0.04;0.09;0.25;-0.27;-5.89;0.67
0.03;-0.04;-0.82;16058;-0.05;0.00;-0.07;0.25;-0.27;-5.97;0.68
0.03;-0.04;-0.82;16058;0.02;0.02;0.00;0.26;-0.28;-6.05;0.68
0.03;-0.04;-0.82;16058;-0.01;-0.00;0.03;0.26;-0.28;-6.14;0.67
0.03;-0.04;-0.82;16058;0.01;-0.00;-0.01;0.26;-0.28;-6.22;0.67
0.03;-0.04;-0.82;16058;-0.04;-0.01;0.01;0.27;-0.29;-6.30;0.67
0.03;-0.04;-0.81;16058;0.04;0.04;0.03;0.27;-0.29;-6.38;0.67
0.04;-0.03;-0.81;16058;0.02;0.02;0.01;0.27;-0.29;-6.46;0.66
0.04;-0.04;-0.81;16058;0.01;-0.05;0.01;0.28;-0.30;-6.54;0.66
0.03;-0.04;-0.82;16058;-0.06;0.01;-0.08;0.28;-0.30;-6.63;0.68
0.04;-0.04;-0.82;16058;0.05;-0.01;0.02;0.28;-0.30;-6.71;0.67
0.03;-0.04;-0.81;16059;-0.04;-0.00;0.04;0.29;-0.31;-6.79;0.67
0.04;-0.04;-0.82;16059;0.03;-0.02;-0.03;0.29;-0.31;-6.87;0.67
0.04;-0.04;-0.82;16059;0.01;0.03;0.01;0.29;-0.32;-6.95;0.67
0.04;-0.04;-0.82;16059;-0.01;0.02;0.00;0.30;-0.32;-7.03;0.67
0.03;-0.04;-0.82;16059;-0.03;-0.01;-0.07;0.30;-0.32;-7.12;0.68
0.03;-0.04;-0.82;16059;-0.01;0.02;0.07;0.30;-0.33;-7.20;0.67
0.04;-0.03;-0.82;16059;0.06;0.02;-0.05;0.31;-0.33;-7.28;0.68
0.03;-0.04;-0.81;16059;-0.04;-0.06;0.08;0.31;-0.33;-7.36;0.66
0.03;-0.04;-0.82;16059;0.00;0.03;-0.07;0.31;-0.34;-7.44;0.68
0.03;-0.04;-0.82;16059;0.01;-0.02;0.05;0.32;-0.34;-7.53;0.67
0.04;-0.04;-0.82;1610;0.02;0.02;-0.02;0.32;-0.35;-7.61;0.67
0.03;-0.04;-0.82;1610;-0.03;-0.05;-0.02;0.32;-0.35;-7.69;0.67
0.04;-0.03;-0.82;1610;0.02;0.07;0.01;0.33;-0.35;-7.77;0.67
0.03;-0.04;-0.81;1610;-0.01;-0.05;0.05;0.33;-0.36;-7.85;0.66
0.03;-0.04;-0.81;1610;0.00;0.03;-0.02;0.33;-0.36;-7.93;0.67
0.04;-0.04;-0.82;1610;0.04;-0.00;-0.01;0.34;-0.36;-8.02;0.67
0.04;-0.04;-0.82;1610;0.00;0.00;-0.01;0.34;-0.37;-8.10;0.67
0.04;-0.04;-0.81;1610;-0.01;-0.02;0.04;0.35;-0.37;-8.18;0.66
0.03;-0.04;-0.81;1610;-0.03;0.00;-0.01;0.35;-0.38;-8.26;0.67
0.03;-0.04;-0.83;1610;-0.02;0.03;-0.12;0.35;-0.38;-8.34;0.68
0.04;-0.04;-0.81;1611;0.06;-0.03;0.12;0.36;-0.38;-8.42;0.67
0.03;-0.04;-0.82;1611;-0.05;0.00;-0.05;0.36;-0.39;-8.51;0.67
0.04;-0.03;-0.81;1611;0.03;0.04;0.06;0.36;-0.39;-8.59;0.66
0.03;-0.04;-0.82;1611;-0.04;-0.02;-0.04;0.37;-0.39;-8.67;0.67
0.04;-0.04;-0.82;1611;0.04;0.00;-0.00;0.37;-0.40;-8.75;0.67
0.03;-0.04;-0.82;1611;-0.02;-0.02;0.01;0.37;-0.40;-8.83;0.67
0.04;-0.04;-0.81;1611;0.02;0.01;0.05;0.38;-0.40;-8.91;0.66
0.04;-0.04;-0.82;1611;0.00;0.01;-0.10;0.38;-0.41;-9.00;0.68
0.03;-0.04;-0.82;1611;-0.01;0.00;0.06;0.38;-0.41;-9.08;0.67
0.03;-0.04;-0.82;1611;-0.01;-0.00;-0.05;0.39;-0.42;-9.16;0.68
0.03;-0.03;-0.82;1612;-0.02;0.03;0.02;0.39;-0.42;-9.24;0.67
0.03;-0.04;-0.82;1612;0.01;-0.06;-0.06;0.39;-0.42;-9.32;0.68
0.04;-0.04;-0.81;1612;0.02;0.03;0.11;0.40;-0.43;-9.40;0.66
0.03;-0.04;-0.82;1612;-0.01;-0.03;-0.09;0.40;-0.43;-9.49;0.68
0.03;-0.04;-0.82;1612;-0.00;-0.03;0.03;0.40;-0.43;-9.57;0.67
0.04;-0.04;-0.82;1612;0.03;0.03;0.01;0.41;-0.44;-9.65;0.67
0.03;-0.04;-0.82;1612;-0.04;0.03;0.01;0.41;-0.44;-9.73;0.67
0.03;-0.04;-0.82;1612;-0.00;-0.01;0.00;0.41;-0.45;-9.81;0.67
0.04;-0.03;-0.82;1612;0.02;0.03;0.00;0.42;-0.45;-9.89;0.67
0.03;-0.04;-0.82;1612;-0.01;-0.03;-0.01;0.42;-0.45;-9.98;0.67
0.03;-0.04;-0.82;1613;-0.03;-0.00;-0.02;0.42;-0.46;-10.06;0.67
0.03;-0.04;-0.82;1613;0.04;0.02;-0.01;0.43;-0.46;-10.14;0.67
0.04;-0.04;-0.82;1613;0.01;-0.01;0.02;0.43;-0.46;-10.22;0.67
0.03;-0.04;-0.82;1613;-0.04;-0.05;-0.00;0.43;-0.47;-10.30;0.67
0.03;-0.04;-0.81;1613;0.02;0.05;0.04;0.44;-0.47;-10.39;0.67
0.03;-0.04;-0.82;1613;0.00;0.01;-0.02;0.44;-0.48;-10.47;0.67
0.04;-0.04;-0.82;1613;0.07;0.00;0.01;0.44;-0.48;-10.55;0.67
0.03;-0.03;-0.82;1613;-0.08;0.00;-0.04;0.45;-0.48;-10.63;0.67
0.03;-0.03;-0.82;1613;0.00;0.01;0.04;0.45;-0.49;-10.71;0.67
0.03;-0.04;-0.82;1613;0.01;-0.07;-0.05;0.45;-0.49;-10.79;0.68
0.03;-0.04;-0.81;1614;-0.01;0.05;0.10;0.46;-0.49;-10.88;0.66
0.03;-0.04;-0.82;1614;-0.01;-0.05;-0.08;0.46;-0.50;-10.96;0.67
0.04;-0.04;-0.82;1614;0.05;0.04;0.00;0.46;-0.50;-11.04;0.67
0.03;-0.04;-0.82;1614;-0.06;-0.01;0.01;0.47;-0.50;-11.12;0.67
0.03;-0.04;-0.82;1614;0.03;0.01;0.01;0.47;-0.51;-11.20;0.67
0.03;-0.03;-0.82;1614;-0.01;0.01;-0.02;0.47;-0.51;-11.28;0.67
0.04;-0.04;-0.81;1614;0.04;-0.00;0.05;0.48;-0.51;-11.37;0.66
0.03;-0.03;-0.82;1614;-0.05;0.00;-0.07;0.48;-0.52;-11.45;0.68
0.04;-0.04;-0.82;1614;0.04;-0.02;0.01;0.48;-0.52;-11.53;0.67
0.03;-0.03;-0.82;1614;-0.05;0.03;0.02;0.49;-0.53;-11.61;0.67
0.03;-0.04;-0.81;1615;-0.02;-0.05;0.04;0.49;-0.53;-11.69;0.66
0.03;-0.04;-0.81;1615;0.03;-0.00;0.00;0.49;-0.53;-11.77;0.66
0.03;-0.03;-0.82;1615;0.00;0.05;-0.05;0.50;-0.54;-11.86;0.67
0.03;-0.03;-0.82;1615;0.00;-0.00;0.01;0.50;-0.54;-11.94;0.67
0.03;-0.04;-0.82;1615;0.00;-0.06;-0.01;0.50;-0.54;-12.02;0.67
0.04;-0.04;-0.82;1615;0.03;0.01;-0.05;0.51;-0.55;-12.10;0.68
0.03;-0.04;-0.82;1615;-0.03;0.03;0.04;0.51;-0.55;-12.18;0.67
0.03;-0.04;-0.82;1615;0.00;-0.03;0.00;0.52;-0.56;-12.26;0.67
0.04;-0.04;-0.82;1615;0.05;0.02;-0.00;0.52;-0.56;-12.35;0.67
0.03;-0.04;-0.82;1615;-0.09;-0.00;-0.00;0.52;-0.56;-12.43;0.67
0.03;-0.04;-0.82;1616;0.04;0.00;0.00;0.53;-0.57;-12.51;0.67
0.03;-0.04;-0.82;1616;-0.03;0.02;0.00;0.53;-0.57;-12.59;0.67
0.04;-0.04;-0.82;1616;0.04;-0.01;0.01;0.53;-0.57;-12.67;0.67
0.03;-0.04;-0.82;1616;-0.01;0.01;0.01;0.54;-0.58;-12.76;0.67
0.04;-0.03;-0.82;1616;0.03;0.01;0.00;0.54;-0.58;-12.84;0.67
0.04;-0.04;-0.82;1616;0.00;-0.04;-0.06;0.54;-0.58;-12.92;0.68
0.03;-0.04;-0.81;1616;-0.03;0.03;0.07;0.55;-0.59;-13.00;0.67
0.03;-0.04;-0.82;1616;-0.01;-0.03;-0.07;0.55;-0.59;-13.08;0.68
0.03;-0.04;-0.82;1616;0.01;0.01;0.06;0.55;-0.60;-13.16;0.67
0.03;-0.04;-0.82;1616;-0.03;0.01;-0.06;0.56;-0.60;-13.25;0.68
0.04;-0.03;-0.82;1617;0.05;0.03;0.06;0.56;-0.60;-13.33;0.67
0.04;-0.04;-0.81;1617;0.01;-0.05;0.03;0.56;-0.61;-13.41;0.66
0.04;-0.04;-0.83;1617;-0.01;0.00;-0.16;0.57;-0.61;-13.49;0.69
0.04;-0.04;-0.82;1617;-0.01;-0.03;0.13;0.57;-0.61;-13.57;0.67
0.04;-0.04;-0.82;1617;0.03;0.05;-0.01;0.58;-0.62;-13.66;0.67
0.04;-0.03;-0.82;1617;-0.01;0.00;-0.04;0.58;-0.62;-13.74;0.68
0.03;-0.04;-0.81;1617;-0.02;-0.00;0.05;0.58;-0.63;-13.82;0.67
0.04;-0.04;-0.82;1617;0.03;-0.02;-0.07;0.59;-0.63;-13.90;0.68
0.03;-0.04;-0.82;1617;-0.04;-0.01;0.02;0.59;-0.63;-13.98;0.68
0.03;-0.03;-0.81;1617;-0.00;0.04;0.07;0.59;-0.64;-14.06;0.66
0.03;-0.04;-0.82;1618;0.02;-0.04;-0.04;0.60;-0.64;-14.15;0.67
0.03;-0.03;-0.82;1618;0.00;0.04;-0.02;0.60;-0.64;-14.23;0.67
0.03;-0.03;-0.82;1618;-0.04;-0.00;0.01;0.60;-0.65;-14.31;0.67
0.03;-0.04;-0.82;1618;0.02;-0.05;-0.01;0.61;-0.65;-14.39;0.67
0.04;-0.04;-0.81;1618;0.04;0.03;0.06;0.61;-0.65;-14.47;0.66
0.03;-0.04;-0.82;1618;-0.05;0.00;-0.07;0.61;-0.66;-14.56;0.67
0.03;-0.04;-0.82;1618;0.02;0.01;0.00;0.62;-0.66;-14.64;0.67
0.03;-0.04;-0.82;1618;0.00;-0.00;0.00;0.62;-0.67;-14.72;0.67
0.04;-0.04;-0.82;1618;0.03;-0.05;0.00;0.62;-0.67;-14.80;0.67
0.03;-0.04;-0.82;1618;-0.02;0.01;0.01;0.63;-0.67;-14.88;0.67
0.04;-0.03;-0.82;1619;0.02;0.09;-0.03;0.63;-0.68;-14.97;0.68
0.03;-0.03;-0.82;1619;-0.02;-0.04;0.01;0.63;-0.68;-15.05;0.68
0.04;-0.04;-0.82;1619;0.02;-0.02;0.00;0.64;-0.68;-15.13;0.67
0.03;-0.03;-0.81;1619;-0.02;0.02;0.06;0.64;-0.69;-15.21;0.66
0.03;-0.04;-0.82;1619;0.01;-0.02;-0.06;0.64;-0.69;-15.29;0.67
0.04;-0.04;-0.82;1619;0.03;-0.04;0.01;0.65;-0.69;-15.37;0.67
0.03;-0.04;-0.82;1619;-0.06;0.04;-0.01;0.65;-0.70;-15.46;0.67
0.03;-0.03;-0.82;1619;0.01;0.00;-0.01;0.65;-0.70;-15.54;0.68
0.03;-0.04;-0.81;1619;-0.02;-0.03;0.06;0.66;-0.70;-15.62;0.67
0.04;-0.04;-0.82;1619;0.04;0.02;-0.01;0.66;-0.71;-15.70;0.67
0.03;-0.03;-0.82;16110;-0.01;0.02;-0.01;0.66;-0.71;-15.78;0.67
0.03;-0.03;-0.82;16110;0.00;-0.00;0.00;0.67;-0.72;-15.86;0.67
0.04;-0.04;-0.81;16110;0.01;-0.02;0.04;0.67;-0.72;-15.95;0.66
0.04;-0.04;-0.82;16110;0.02;-0.00;-0.06;0.67;-0.72;-16.03;0.67
0.03;-0.04;-0.82;16110;-0.05;-0.00;0.02;0.68;-0.73;-16.11;0.67
0.03;-0.04;-0.81;16110;-0.03;0.01;0.01;0.68;-0.73;-16.19;0.67
0.03;-0.03;-0.82;16110;0.03;0.04;-0.06;0.68;-0.73;-16.27;0.67
0.03;-0.04;-0.82;16110;0.00;-0.06;0.00;0.69;-0.74;-16.35;0.67
0.03;-0.04;-0.81;16110;0.01;0.03;0.10;0.69;-0.74;-16.44;0.66
