ID; ax; ay; az; temp 
1;0.27;0.02;1.19;194646
2;0.27;0.02;1.18;194646
3;0.28;0.03;1.19;194646
4;0.27;0.02;1.18;194646
5;0.28;0.02;1.19;194647
6;0.27;0.02;1.19;194647
7;0.27;0.02;1.19;194647
8;0.28;0.03;1.19;194647
9;0.28;0.02;1.20;194647
10;0.27;0.03;1.19;194647
11;0.28;0.02;1.19;194647
12;0.27;0.02;1.19;194647
13;0.28;0.02;1.19;194647
14;0.28;0.02;1.18;194647
15;0.28;0.02;1.19;194648
16;0.28;0.02;1.19;194648
17;0.27;0.02;1.19;194648
18;0.27;0.02;1.19;194648
19;0.28;0.02;1.19;194648
20;0.28;0.02;1.19;194648
21;0.27;0.02;1.18;194648
22;0.28;0.02;1.18;194648
23;0.28;0.02;1.19;194648
24;0.27;0.02;1.19;194648
25;0.28;0.02;1.19;194649
26;0.28;0.02;1.19;194649
27;0.28;0.02;1.19;194649
28;0.27;0.02;1.19;194649
29;0.28;0.02;1.19;194649
30;0.27;0.02;1.18;194649
31;0.28;0.02;1.18;194649
32;0.27;0.02;1.18;194649
33;0.27;0.02;1.19;194649
34;0.28;0.02;1.19;194649
35;0.27;0.02;1.19;194650
36;0.28;0.02;1.19;194650
37;0.28;0.02;1.18;194650
38;0.27;0.02;1.18;194650
39;0.27;0.02;1.19;194650
40;0.28;0.02;1.19;194650
41;0.28;0.02;1.19;194650
42;0.27;0.02;1.19;194650
43;0.27;0.02;1.19;194650
44;0.27;0.02;1.19;194650
45;0.28;0.02;1.19;194651
46;0.28;0.02;1.18;194651
47;0.28;0.02;1.19;194651
48;0.28;0.02;1.19;194651
49;0.28;0.02;1.18;194651
50;0.28;0.02;1.19;194651
51;0.28;0.02;1.19;194651
52;0.27;0.02;1.19;194651
53;0.28;0.02;1.18;194651
54;0.27;0.02;1.18;194651
55;0.27;0.02;1.19;194652
56;0.28;0.03;1.19;194652
57;0.28;0.03;1.18;194652
58;0.28;0.02;1.19;194652
59;0.28;0.02;1.18;194652
60;0.27;0.03;1.19;194652
61;0.27;0.02;1.19;194652
62;0.28;0.02;1.19;194652
63;0.27;0.02;1.19;194652
64;0.27;0.02;1.19;194652
65;0.27;0.02;1.19;194653
66;0.27;0.02;1.19;194653
67;0.27;0.02;1.18;194653
68;0.27;0.03;1.19;194653
69;0.27;0.02;1.18;194653
70;0.27;0.02;1.19;194653
71;0.27;0.02;1.19;194653
72;0.28;0.02;1.18;194653
73;0.27;0.02;1.18;194653
74;0.28;0.02;1.19;194653
75;0.28;0.02;1.19;194654
76;0.28;0.02;1.18;194654
77;0.28;0.03;1.20;194654
78;0.28;0.02;1.19;194654
79;0.28;0.02;1.19;194654
80;0.28;0.02;1.19;194654
81;0.27;0.02;1.18;194654
82;0.27;0.02;1.19;194654
83;0.27;0.02;1.19;194654
84;0.28;0.02;1.19;194654
85;0.27;0.02;1.19;194655
86;0.27;0.03;1.18;194655
87;0.28;0.02;1.19;194655
88;0.28;0.02;1.19;194655
89;0.27;0.02;1.19;194655
90;0.27;0.02;1.19;194655
91;0.28;0.02;1.19;194655
92;0.27;0.02;1.19;194655
93;0.28;0.02;1.19;194655
94;0.27;0.02;1.19;194655
95;0.28;0.03;1.19;194656
96;0.28;0.02;1.19;194656
97;0.28;0.02;1.19;194656
98;0.27;0.02;1.18;194656
99;0.27;0.02;1.19;194656
100;0.28;0.02;1.19;194656
101;0.28;0.02;1.19;194656
102;0.28;0.02;1.18;194656
103;0.27;0.02;1.19;194656
104;0.27;0.02;1.19;194656
105;0.28;0.02;1.19;194657
106;0.27;0.02;1.19;194657
107;0.27;0.02;1.18;194657
108;0.28;0.02;1.19;194657
109;0.27;0.02;1.19;194657
110;0.27;0.02;1.19;194657
111;0.28;0.02;1.19;194657
112;0.28;0.02;1.18;194657
113;0.28;0.03;1.19;194657
114;0.28;0.02;1.19;194657
115;0.28;0.02;1.18;194658
116;0.28;0.02;1.19;194658
117;0.27;0.02;1.18;194658
118;0.27;0.02;1.19;194658
119;0.27;0.02;1.19;194658
120;0.27;0.03;1.19;194658
121;0.28;0.02;1.19;194658
122;0.28;0.02;1.19;194658
123;0.27;0.02;1.19;194658
124;0.27;0.02;1.18;194658
125;0.27;0.02;1.19;194659
