ID; ax; ay; az; temp 
1;0.25;0.03;1.18;2233
2;0.25;0.03;1.19;2233
3;0.25;0.03;1.18;2233
4;0.26;0.03;1.19;2233
5;0.26;0.03;1.19;2234
6;0.26;0.03;1.20;2234
7;0.39;-0.19;1.30;2234
8;0.04;-0.05;1.25;2234
9;-0.02;-0.10;1.59;2234
10;-0.46;0.03;0.86;2234
11;-0.48;-0.07;0.45;2234
12;-0.37;-0.31;0.47;2234
13;0.11;-0.30;1.24;2234
14;0.14;-0.10;1.38;2234
15;0.24;0.20;1.25;2235
16;0.24;-0.16;1.00;2235
17;0.29;-0.23;1.15;2235
18;0.20;-0.12;1.26;2235
19;0.43;-0.09;0.78;2235
20;0.28;0.04;1.18;2235
21;0.25;0.03;1.20;2235
22;0.26;0.03;1.19;2235
23;0.26;0.04;1.18;2235
24;0.26;0.04;1.19;2235
25;0.25;0.03;1.19;2236
26;0.25;0.03;1.19;2236
27;0.26;0.03;1.19;2236
28;0.25;0.03;1.19;2236
29;0.26;0.03;1.19;2236
30;0.26;0.03;1.19;2236
31;0.14;0.09;1.36;2236
32;0.21;0.23;1.31;2236
33;0.04;-0.15;1.07;2236
34;-0.47;-0.29;0.33;2236
35;-0.86;-0.42;0.10;2237
36;-0.14;-0.18;1.16;2237
37;-0.21;0.02;1.71;2237
38;-0.49;-0.17;1.22;2237
39;-0.29;-0.08;1.13;2237
40;-0.48;-0.28;0.88;2237
41;-0.07;-0.25;0.92;2237
42;-0.24;-0.16;1.09;2237
43;-0.33;-0.07;1.38;2237
44;-0.45;0.06;1.24;2237
45;-0.75;-0.01;0.78;2238
46;-0.58;-0.10;0.55;2238
47;-0.24;-0.34;0.91;2238
48;-0.07;-0.25;0.95;2238
49;-0.28;-0.45;1.42;2238
50;-0.15;-0.17;1.59;2238
51;-0.04;-0.15;1.11;2238
52;-0.24;-0.16;0.54;2238
53;0.38;-0.75;0.98;2238
54;0.28;-0.79;1.12;2238
55;0.17;-0.49;1.33;2239
56;-0.14;-0.12;1.39;2239
57;-0.09;0.07;1.16;2239
58;-0.14;-0.20;1.03;2239
59;0.42;-0.43;0.97;2239
60;0.31;-0.40;0.99;2239
61;-0.05;-0.25;1.55;2239
62;0.06;-0.01;1.65;2239
63;-0.06;-0.06;1.16;2239
64;-0.10;0.05;0.60;2239
65;-0.55;-0.16;0.46;22310
66;-0.91;-0.37;0.99;22310
67;-0.55;-0.30;1.09;22310
68;0.20;-0.26;0.97;22310
69;0.65;-0.15;0.91;22310
70;0.79;-0.26;1.21;22310
71;0.78;-0.26;1.67;22310
72;0.41;-0.04;1.28;22310
73;-0.35;-0.04;0.75;22310
74;-0.44;0.02;0.53;22310
75;-0.38;0.07;1.03;22311
76;-0.90;0.38;0.77;22311
77;-0.90;0.68;0.39;22311
78;-0.48;0.34;0.41;22311
79;0.48;-0.61;0.93;22311
80;0.34;-0.72;1.14;22311
81;0.52;-0.71;0.94;22311
82;0.45;-0.65;1.38;22311
83;0.36;-0.43;0.97;22311
84;0.26;-0.32;0.75;22311
