ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.40;0.50;0.86;181333;0.00;0.00;0.00;-0.04;0.05;0.09;1.15
-0.41;0.50;0.86;181333;-0.10;0.03;0.00;-0.08;0.10;0.17;1.16
-0.41;0.50;0.86;181333;0.02;0.00;-0.03;-0.12;0.15;0.26;1.16
-0.40;0.50;0.86;181333;0.08;0.02;-0.01;-0.16;0.20;0.34;1.15
-0.40;0.50;0.86;181333;0.01;-0.01;0.01;-0.20;0.25;0.43;1.15
-0.41;0.50;0.86;181333;-0.07;-0.01;0.01;-0.24;0.30;0.52;1.16
-0.41;0.50;0.86;181333;0.00;-0.03;-0.03;-0.28;0.35;0.60;1.15
-0.41;0.51;0.86;181333;0.01;0.10;0.02;-0.32;0.40;0.69;1.16
-0.41;0.50;0.86;181333;-0.01;-0.09;-0.01;-0.37;0.45;0.77;1.15
-0.41;0.51;0.86;181333;-0.01;0.08;0.05;-0.41;0.50;0.86;1.17
-0.41;0.50;0.86;181334;0.01;-0.04;0.00;-0.45;0.55;0.95;1.17
-0.41;0.50;0.86;181334;-0.02;0.00;-0.04;-0.49;0.60;1.03;1.16
-0.41;0.50;0.85;181334;-0.01;-0.04;-0.10;-0.53;0.65;1.12;1.14
-0.41;0.50;0.86;181334;0.01;0.00;0.06;-0.57;0.70;1.20;1.15
-0.41;0.51;0.86;181334;-0.04;0.16;0.09;-0.61;0.75;1.29;1.18
-0.40;0.51;0.85;181334;0.09;-0.06;-0.14;-0.65;0.80;1.38;1.14
-0.41;0.49;0.86;181334;-0.10;-0.16;0.09;-0.69;0.85;1.46;1.15
-0.41;0.50;0.85;181334;0.06;0.04;-0.04;-0.73;0.90;1.55;1.14
-0.41;0.51;0.86;181334;0.00;0.17;0.07;-0.77;0.95;1.63;1.17
-0.41;0.49;0.85;181334;-0.02;-0.19;-0.08;-0.82;1.00;1.72;1.14
-0.41;0.50;0.86;181335;-0.00;0.07;0.03;-0.86;1.05;1.80;1.16
-0.41;0.50;0.86;181335;0.03;-0.00;0.07;-0.90;1.10;1.89;1.16
-0.41;0.50;0.86;181335;-0.03;-0.06;-0.03;-0.94;1.15;1.98;1.15
-0.41;0.51;0.86;181335;0.02;0.13;-0.03;-0.98;1.20;2.06;1.16
-0.41;0.50;0.86;181335;-0.02;-0.03;-0.01;-1.02;1.25;2.15;1.16
-0.41;0.50;0.86;181335;0.02;-0.02;0.07;-1.06;1.30;2.23;1.17
-0.40;0.50;0.86;181335;0.04;0.02;-0.06;-1.10;1.36;2.32;1.15
-0.40;0.51;0.86;181335;0.01;0.07;-0.00;-1.14;1.41;2.41;1.16
-0.41;0.50;0.86;181335;-0.10;-0.13;-0.00;-1.18;1.46;2.49;1.15
-0.41;0.50;0.86;181335;0.07;0.05;0.05;-1.22;1.51;2.58;1.16
-0.41;0.51;0.86;181336;0.00;0.04;-0.02;-1.26;1.56;2.66;1.16
-0.41;0.50;0.86;181336;-0.01;-0.05;-0.03;-1.30;1.61;2.75;1.15
-0.41;0.51;0.85;181336;-0.00;0.08;-0.04;-1.34;1.66;2.84;1.16
-0.41;0.50;0.86;181336;0.01;-0.07;0.02;-1.39;1.71;2.92;1.15
-0.41;0.50;0.85;181336;-0.01;-0.00;-0.04;-1.43;1.76;3.01;1.14
-0.41;0.51;0.86;181336;-0.03;0.09;0.09;-1.47;1.81;3.09;1.17
-0.40;0.50;0.85;181336;0.06;-0.10;-0.10;-1.51;1.86;3.18;1.14
-0.41;0.51;0.86;181336;-0.04;0.12;0.12;-1.55;1.91;3.26;1.18
-0.41;0.51;0.85;181336;0.01;-0.09;-0.11;-1.59;1.96;3.35;1.15
-0.41;0.52;0.86;181336;-0.02;0.13;0.13;-1.63;2.02;3.43;1.18
-0.41;0.50;0.84;181337;0.03;-0.21;-0.27;-1.67;2.07;3.52;1.11
-0.41;0.52;0.87;181337;0.00;0.27;0.28;-1.71;2.12;3.61;1.19
-0.40;0.50;0.86;181337;0.01;-0.23;-0.09;-1.75;2.17;3.69;1.15
-0.41;0.50;0.86;181337;-0.07;0.03;0.00;-1.79;2.22;3.78;1.16
-0.41;0.51;0.85;181337;0.02;0.04;-0.04;-1.83;2.27;3.86;1.16
-0.42;0.49;0.86;181337;-0.12;-0.19;0.05;-1.88;2.32;3.95;1.16
-0.42;0.50;0.85;181337;0.01;0.11;-0.11;-1.92;2.37;4.03;1.15
-0.41;0.47;0.86;181337;0.06;-0.33;0.13;-1.96;2.42;4.12;1.13
