ax1;ay1;az1;ax2;ay2;az2;ax3;ay3;az3;ax4;ay4;az4;ax5;ay5;az5;ax6;ay6;az6;ax7;ay7;az7;ax8;ay8;az8;ax9;ay9;az9;ax10;ay10;az10;ax11;ay11;az11;ax12;ay12;az12;ax13;ay13;az13;ax14;ay14;az14;ax15;ay15;az15;ax16;ay16;az16;ax17;ay17;az17;ax18;ay18;az18;ax19;ay19;az19;ax20;ay20;az20;ax21;ay21;az21;ax22;ay22;az22;ax23;ay23;az23;ax24;ay24;az24;ax25;ay25;az25;ax26;ay26;az26;ax27;ay27;az27;ax28;ay28;az28;ax29;ay29;az29;ax30;ay30;az30;ax31;ay31;az31;ax32;ay32;az32;ax33;ay33;az33;ax34;ay34;az34;ax35;ay35;az35;ax36;ay36;az36;ax37;ay37;az37;ax38;ay38;az38;ax39;ay39;az39;ax40;ay40;az40;ax41;ay41;az41;ax42;ay42;az42;ax43;ay43;az43;ax44;ay44;az44;ax45;ay45;az45;ax46;ay46;az46;ax47;ay47;az47;ax48;ay48;az48;ax49;ay49;az49;ax50;ay50;az50;ax51;ay51;az51;ax52;ay52;az52;ax53;ay53;az53;ax54;ay54;az54;ax55;ay55;az55;ax56;ay56;az56;ax57;ay57;az57;ax58;ay58;az58;ax59;ay59;az59;ax60;ay60;az60;ax61;ay61;az61;ax62;ay62;az62;ax63;ay63;az63;ax64;ay64;az64;ax65;ay65;az65;ax66;ay66;az66;ax67;ay67;az67;ax68;ay68;az68;ax69;ay69;az69;ax70;ay70;az70;ax71;ay71;az71;ax72;ay72;az72;ax73;ay73;az73;ax74;ay74;az74;ax75;ay75;az75;ax76;ay76;az76;ax77;ay77;az77;ax78;ay78;az78;ax79;ay79;az79;ax80;ay80;az80;varx;vary;varz
-0.79;0.23;-0.05;-0.78;0.20;-0.02;-0.79;0.01;-0.01;-0.66;0.18;-0.09;-1.23;0.51;0.79;-0.33;1.15;0.13;-1.09;0.03;0.14;-0.73;0.00;0.22;-0.89;0.06;0.34;-0.89;0.05;0.25;-0.83;0.04;0.22;-0.89;0.05;0.16;-0.85;0.01;0.16;-0.84;0.08;0.15;-0.85;0.07;0.14;-0.85;-0.01;0.15;-0.86;0.07;0.13;-0.85;0.06;0.10;-0.80;0.04;0.14;-0.83;0.01;0.22;-0.94;0.19;0.17;-1.09;0.13;-0.22;-0.85;0.01;-0.25;-0.84;0.09;0.18;-0.81;0.19;0.09;-0.87;0.03;-0.06;-0.94;0.07;-0.10;-0.89;0.15;-0.06;-0.86;0.15;-0.09;-0.79;0.11;-0.08;-0.75;0.10;-0.05;-0.74;0.08;-0.06;-0.68;0.09;-0.04;-0.79;0.06;-0.05;-1.57;0.56;0.24;-0.45;0.85;0.08;-1.16;-0.04;0.00;-0.77;-0.01;0.14;-0.89;0.01;0.23;-0.85;0.10;0.25;-0.85;0.04;0.21;-0.88;0.02;0.17;-0.88;0.02;0.07;-0.85;0.03;0.09;-0.84;0.06;0.08;-0.85;0.04;0.11;-0.82;0.07;0.11;-0.86;0.04;0.08;-0.83;0.08;0.04;-0.87;0.04;0.06;-0.86;0.11;0.16;-1.05;0.12;-0.05;-0.96;0.11;-0.23;-0.73;0.01;-0.10;-0.77;0.04;0.04;-0.77;0.05;-0.09;-0.77;0.27;-0.21;-0.88;0.03;-0.03;-0.92;0.16;0.01;-0.89;0.19;0.02;-0.87;0.17;0.03;-0.86;0.21;0.01;-0.74;0.16;-0.02;-0.71;0.04;-0.05;-0.73;-0.00;-0.05;-0.74;-0.03;-0.33;-1.78;-0.09;-0.08;-0.41;0.59;0.07;-1.20;-0.16;0.03;-0.75;0.11;0.08;-0.88;0.16;0.11;-0.87;-0.08;0.15;-0.83;0.09;0.17;-0.85;0.01;0.17;-0.87;0.04;0.09;-0.86;-0.00;0.08;-0.86;0.05;0.05;-0.87;0.04;0.06;-0.84;-0.05;0.02;-0.83;0.05;0.08;0.04;0.04;0.02
-0.85;0.04;0.21;-0.88;0.02;0.17;-0.88;0.02;0.07;-0.85;0.03;0.09;-0.84;0.06;0.08;-0.85;0.04;0.11;-0.82;0.07;0.11;-0.86;0.04;0.08;-0.83;0.08;0.04;-0.87;0.04;0.06;-0.86;0.11;0.16;-1.05;0.12;-0.05;-0.96;0.11;-0.23;-0.73;0.01;-0.10;-0.77;0.04;0.04;-0.77;0.05;-0.09;-0.77;0.27;-0.21;-0.88;0.03;-0.03;-0.92;0.16;0.01;-0.89;0.19;0.02;-0.87;0.17;0.03;-0.86;0.21;0.01;-0.74;0.16;-0.02;-0.71;0.04;-0.05;-0.73;-0.00;-0.05;-0.74;-0.03;-0.33;-1.78;-0.09;-0.08;-0.41;0.59;0.07;-1.20;-0.16;0.03;-0.75;0.11;0.08;-0.88;0.16;0.11;-0.87;-0.08;0.15;-0.83;0.09;0.17;-0.85;0.01;0.17;-0.87;0.04;0.09;-0.86;-0.00;0.08;-0.86;0.05;0.05;-0.87;0.04;0.06;-0.84;-0.05;0.02;-0.83;0.05;0.08;-0.85;0.06;0.11;-0.85;0.02;0.13;-0.99;0.20;0.06;-1.13;0.01;-0.03;-0.88;0.09;-0.25;-0.71;-0.02;-0.28;-0.83;-0.14;0.07;-0.76;-0.12;0.06;-0.78;-0.10;-0.06;-0.91;-0.02;-0.19;-0.93;0.04;-0.19;-0.90;-0.06;-0.18;-0.86;0.01;-0.15;-0.78;0.07;-0.17;-0.74;0.09;-0.12;-0.76;0.05;-0.06;-0.64;0.14;-0.20;-1.20;0.31;0.67;-0.64;0.71;0.18;-0.89;-0.02;0.18;-0.77;0.08;0.17;-0.89;0.07;0.21;-0.84;0.01;0.23;-0.85;0.06;0.18;-0.87;-0.02;0.13;-0.86;0.01;0.11;-0.85;-0.05;0.10;-0.85;-0.01;0.09;-0.87;0.02;0.07;-0.84;0.02;0.07;-0.82;0.07;0.07;-0.85;0.04;0.09;-0.82;0.04;0.10;-0.81;0.01;0.07;-0.94;0.15;0.04;-1.17;0.10;0.09;-0.81;0.13;-0.28;-0.67;0.01;-0.43;-0.69;-0.12;-0.33;-0.79;0.12;0.09;0.02;0.02;0.03
-0.85;0.06;0.11;-0.85;0.02;0.13;-0.99;0.20;0.06;-1.13;0.01;-0.03;-0.88;0.09;-0.25;-0.71;-0.02;-0.28;-0.83;-0.14;0.07;-0.76;-0.12;0.06;-0.78;-0.10;-0.06;-0.91;-0.02;-0.19;-0.93;0.04;-0.19;-0.90;-0.06;-0.18;-0.86;0.01;-0.15;-0.78;0.07;-0.17;-0.74;0.09;-0.12;-0.76;0.05;-0.06;-0.64;0.14;-0.20;-1.20;0.31;0.67;-0.64;0.71;0.18;-0.89;-0.02;0.18;-0.77;0.08;0.17;-0.89;0.07;0.21;-0.84;0.01;0.23;-0.85;0.06;0.18;-0.87;-0.02;0.13;-0.86;0.01;0.11;-0.85;-0.05;0.10;-0.85;-0.01;0.09;-0.87;0.02;0.07;-0.84;0.02;0.07;-0.82;0.07;0.07;-0.85;0.04;0.09;-0.82;0.04;0.10;-0.81;0.01;0.07;-0.94;0.15;0.04;-1.17;0.10;0.09;-0.81;0.13;-0.28;-0.67;0.01;-0.43;-0.69;-0.12;-0.33;-0.79;0.12;0.09;-0.77;-0.02;0.01;-0.85;0.00;-0.15;-0.92;0.17;-0.20;-0.91;0.18;-0.26;-0.87;0.06;-0.28;-0.72;0.12;-0.35;-0.73;-0.01;-0.36;-0.45;-0.25;-0.97;-1.28;-0.83;0.17;-0.58;0.32;0.11;-1.02;-0.14;0.13;-0.82;-0.13;0.21;-0.79;0.10;0.19;-0.87;-0.02;0.15;-0.92;-0.09;0.06;-0.85;0.02;0.08;-0.90;-0.10;0.12;-0.85;-0.03;0.08;-0.86;-0.04;0.05;-0.86;-0.13;0.04;-0.85;0.07;0.06;-0.82;0.04;0.09;-0.85;0.03;0.04;-0.87;-0.03;0.06;-0.90;0.23;0.02;-1.12;0.03;0.01;-0.91;0.06;-0.22;-0.73;0.05;-0.31;-0.70;-0.08;-0.24;-0.69;-0.06;-0.12;-0.69;0.04;-0.06;-0.85;-0.02;-0.13;-0.83;0.03;-0.23;-0.95;0.19;-0.18;-0.91;0.18;-0.12;-0.85;0.03;-0.17;-0.75;0.14;-0.09;-0.69;0.15;-0.08;-0.72;0.01;-0.03;-0.91;-0.24;-0.15;0.02;0.03;0.04
-0.77;-0.02;0.01;-0.85;0.00;-0.15;-0.92;0.17;-0.20;-0.91;0.18;-0.26;-0.87;0.06;-0.28;-0.72;0.12;-0.35;-0.73;-0.01;-0.36;-0.45;-0.25;-0.97;-1.28;-0.83;0.17;-0.58;0.32;0.11;-1.02;-0.14;0.13;-0.82;-0.13;0.21;-0.79;0.10;0.19;-0.87;-0.02;0.15;-0.92;-0.09;0.06;-0.85;0.02;0.08;-0.90;-0.10;0.12;-0.85;-0.03;0.08;-0.86;-0.04;0.05;-0.86;-0.13;0.04;-0.85;0.07;0.06;-0.82;0.04;0.09;-0.85;0.03;0.04;-0.87;-0.03;0.06;-0.90;0.23;0.02;-1.12;0.03;0.01;-0.91;0.06;-0.22;-0.73;0.05;-0.31;-0.70;-0.08;-0.24;-0.69;-0.06;-0.12;-0.69;0.04;-0.06;-0.85;-0.02;-0.13;-0.83;0.03;-0.23;-0.95;0.19;-0.18;-0.91;0.18;-0.12;-0.85;0.03;-0.17;-0.75;0.14;-0.09;-0.69;0.15;-0.08;-0.72;0.01;-0.03;-0.91;-0.24;-0.15;-0.93;0.12;0.04;-0.71;0.31;0.15;-1.00;-0.14;0.15;-0.86;0.05;0.24;-0.84;-0.04;0.26;-0.87;-0.01;0.21;-0.86;-0.00;0.17;-0.86;0.03;0.12;-0.83;0.00;0.09;-0.86;0.08;0.06;-0.81;0.05;0.07;-0.81;-0.00;0.05;-0.82;0.07;0.07;-0.82;-0.03;0.11;-0.85;-0.09;0.16;-1.00;0.29;-0.04;-1.11;0.13;-0.02;-0.86;0.18;-0.26;-0.77;-0.05;-0.30;-0.80;-0.05;0.03;-0.68;0.22;-0.01;-0.73;0.10;-0.10;-0.85;-0.01;-0.16;-0.89;0.02;-0.19;-0.93;0.16;-0.14;-0.88;0.14;-0.20;-0.79;0.08;-0.17;-0.75;0.12;-0.12;-0.67;0.17;-0.06;-0.59;-0.20;-0.88;-1.34;-0.58;0.25;-0.60;0.46;0.13;-1.08;-0.16;0.05;-0.83;-0.05;0.12;-0.88;0.07;0.13;-0.87;0.02;0.24;-0.81;-0.03;0.33;-0.85;-0.07;0.21;-0.86;-0.01;0.09;-0.85;0.03;0.03;0.02;0.03;0.05
-0.93;0.12;0.04;-0.71;0.31;0.15;-1.00;-0.14;0.15;-0.86;0.05;0.24;-0.84;-0.04;0.26;-0.87;-0.01;0.21;-0.86;-0.00;0.17;-0.86;0.03;0.12;-0.83;0.00;0.09;-0.86;0.08;0.06;-0.81;0.05;0.07;-0.81;-0.00;0.05;-0.82;0.07;0.07;-0.82;-0.03;0.11;-0.85;-0.09;0.16;-1.00;0.29;-0.04;-1.11;0.13;-0.02;-0.86;0.18;-0.26;-0.77;-0.05;-0.30;-0.80;-0.05;0.03;-0.68;0.22;-0.01;-0.73;0.10;-0.10;-0.85;-0.01;-0.16;-0.89;0.02;-0.19;-0.93;0.16;-0.14;-0.88;0.14;-0.20;-0.79;0.08;-0.17;-0.75;0.12;-0.12;-0.67;0.17;-0.06;-0.59;-0.20;-0.88;-1.34;-0.58;0.25;-0.60;0.46;0.13;-1.08;-0.16;0.05;-0.83;-0.05;0.12;-0.88;0.07;0.13;-0.87;0.02;0.24;-0.81;-0.03;0.33;-0.85;-0.07;0.21;-0.86;-0.01;0.09;-0.85;0.03;0.03;-0.87;0.04;0.03;-0.86;0.04;0.07;-0.84;0.03;0.11;-0.84;0.04;0.11;-0.84;0.04;0.05;-0.83;0.00;0.03;-0.92;0.01;0.04;-1.08;0.21;-0.00;-1.11;0.01;-0.02;-0.82;-0.04;-0.35;-0.65;-0.00;-0.37;-0.81;-0.01;0.01;-0.65;0.07;-0.07;-0.78;0.01;-0.11;-0.88;0.03;-0.18;-1.01;0.09;-0.18;-0.93;0.12;-0.27;-0.74;0.34;-0.22;-0.81;0.17;-0.14;-0.59;0.02;-0.19;-0.69;-0.01;-0.27;-2.11;-0.37;-0.05;-0.45;1.00;-0.00;-1.03;-0.01;0.03;-0.82;-0.15;0.15;-0.84;0.14;0.19;-0.89;-0.03;0.19;-0.85;-0.02;0.10;-0.88;0.00;0.09;-0.89;-0.02;0.10;-0.86;-0.03;0.13;-0.83;0.02;0.16;-0.88;-0.03;0.10;-0.87;-0.05;0.07;-0.84;-0.00;0.06;-0.82;0.06;0.05;-0.84;-0.04;0.04;-0.81;0.07;0.00;-1.04;-0.06;0.01;-1.11;0.21;-0.01;0.04;0.03;0.03
-0.87;0.04;0.03;-0.86;0.04;0.07;-0.84;0.03;0.11;-0.84;0.04;0.11;-0.84;0.04;0.05;-0.83;0.00;0.03;-0.92;0.01;0.04;-1.08;0.21;-0.00;-1.11;0.01;-0.02;-0.82;-0.04;-0.35;-0.65;-0.00;-0.37;-0.81;-0.01;0.01;-0.65;0.07;-0.07;-0.78;0.01;-0.11;-0.88;0.03;-0.18;-1.01;0.09;-0.18;-0.93;0.12;-0.27;-0.74;0.34;-0.22;-0.81;0.17;-0.14;-0.59;0.02;-0.19;-0.69;-0.01;-0.27;-2.11;-0.37;-0.05;-0.45;1.00;-0.00;-1.03;-0.01;0.03;-0.82;-0.15;0.15;-0.84;0.14;0.19;-0.89;-0.03;0.19;-0.85;-0.02;0.10;-0.88;0.00;0.09;-0.89;-0.02;0.10;-0.86;-0.03;0.13;-0.83;0.02;0.16;-0.88;-0.03;0.10;-0.87;-0.05;0.07;-0.84;-0.00;0.06;-0.82;0.06;0.05;-0.84;-0.04;0.04;-0.81;0.07;0.00;-1.04;-0.06;0.01;-1.11;0.21;-0.01;-0.92;0.16;-0.19;-0.70;-0.02;-0.41;-0.83;-0.11;0.10;-0.70;0.15;0.06;-0.87;-0.08;-0.05;-0.93;-0.10;-0.19;-0.92;-0.01;-0.19;-0.86;0.14;-0.23;-0.81;0.03;-0.25;-0.82;0.00;-0.18;-0.72;-0.05;-0.16;-0.69;0.06;-0.21;-0.51;-0.12;-1.12;-1.54;-1.03;0.24;-0.61;0.34;-0.09;-1.03;0.00;-0.00;-0.83;0.04;0.10;-0.84;0.07;0.12;-0.86;-0.02;0.03;-0.87;-0.02;-0.02;-0.84;0.04;-0.03;-0.84;0.02;-0.02;-0.84;-0.01;-0.01;-0.84;-0.02;-0.02;-0.85;-0.04;0.03;-0.84;0.01;-0.01;-0.86;-0.04;-0.04;-0.86;0.05;0.07;-1.16;0.10;0.18;-1.04;0.20;-0.18;-0.74;0.02;-0.39;-0.54;-0.20;-0.20;-0.62;0.06;-0.05;-0.81;-0.01;-0.10;-0.85;-0.17;-0.19;-0.86;-0.09;-0.20;-0.90;-0.05;-0.29;-0.88;0.12;-0.27;-1.00;-0.14;-0.22;-0.77;-0.09;-0.22;0.04;0.04;0.04
-0.92;0.16;-0.19;-0.70;-0.02;-0.41;-0.83;-0.11;0.10;-0.70;0.15;0.06;-0.87;-0.08;-0.05;-0.93;-0.10;-0.19;-0.92;-0.01;-0.19;-0.86;0.14;-0.23;-0.81;0.03;-0.25;-0.82;0.00;-0.18;-0.72;-0.05;-0.16;-0.69;0.06;-0.21;-0.51;-0.12;-1.12;-1.54;-1.03;0.24;-0.61;0.34;-0.09;-1.03;0.00;-0.00;-0.83;0.04;0.10;-0.84;0.07;0.12;-0.86;-0.02;0.03;-0.87;-0.02;-0.02;-0.84;0.04;-0.03;-0.84;0.02;-0.02;-0.84;-0.01;-0.01;-0.84;-0.02;-0.02;-0.85;-0.04;0.03;-0.84;0.01;-0.01;-0.86;-0.04;-0.04;-0.86;0.05;0.07;-1.16;0.10;0.18;-1.04;0.20;-0.18;-0.74;0.02;-0.39;-0.54;-0.20;-0.20;-0.62;0.06;-0.05;-0.81;-0.01;-0.10;-0.85;-0.17;-0.19;-0.86;-0.09;-0.20;-0.90;-0.05;-0.29;-0.88;0.12;-0.27;-1.00;-0.14;-0.22;-0.77;-0.09;-0.22;-0.72;0.22;-0.24;-0.60;0.11;-0.23;-0.58;-0.22;-1.00;-0.96;-0.24;0.04;-0.59;0.39;-0.13;-1.00;-0.12;0.06;-0.86;-0.18;0.11;-0.82;0.07;0.07;-0.88;-0.03;0.02;-0.88;-0.07;0.02;-0.82;0.01;0.02;-0.87;0.01;0.03;-0.86;0.03;0.12;-0.81;0.11;0.03;-0.84;0.03;0.01;-0.82;0.09;-0.02;-0.85;-0.04;-0.03;-0.93;0.01;-0.01;-1.05;0.12;0.06;-1.03;0.18;-0.10;-0.88;0.06;-0.23;-0.58;-0.21;-0.59;-0.92;-0.11;0.15;-0.54;0.15;-0.05;-0.76;-0.09;-0.11;-0.88;-0.16;-0.27;-0.88;0.08;-0.32;-0.86;0.15;-0.31;-0.87;-0.02;-0.24;-0.85;0.03;-0.26;-0.71;0.16;-0.15;-0.66;0.15;-0.22;-1.11;0.31;0.83;-0.47;0.06;0.09;-0.93;0.25;0.00;-0.80;-0.02;0.09;-0.89;-0.15;0.17;-0.83;0.08;0.07;-0.89;-0.08;0.05;-0.89;0.03;-0.00;0.02;0.03;0.06
-0.72;0.22;-0.24;-0.60;0.11;-0.23;-0.58;-0.22;-1.00;-0.96;-0.24;0.04;-0.59;0.39;-0.13;-1.00;-0.12;0.06;-0.86;-0.18;0.11;-0.82;0.07;0.07;-0.88;-0.03;0.02;-0.88;-0.07;0.02;-0.82;0.01;0.02;-0.87;0.01;0.03;-0.86;0.03;0.12;-0.81;0.11;0.03;-0.84;0.03;0.01;-0.82;0.09;-0.02;-0.85;-0.04;-0.03;-0.93;0.01;-0.01;-1.05;0.12;0.06;-1.03;0.18;-0.10;-0.88;0.06;-0.23;-0.58;-0.21;-0.59;-0.92;-0.11;0.15;-0.54;0.15;-0.05;-0.76;-0.09;-0.11;-0.88;-0.16;-0.27;-0.88;0.08;-0.32;-0.86;0.15;-0.31;-0.87;-0.02;-0.24;-0.85;0.03;-0.26;-0.71;0.16;-0.15;-0.66;0.15;-0.22;-1.11;0.31;0.83;-0.47;0.06;0.09;-0.93;0.25;0.00;-0.80;-0.02;0.09;-0.89;-0.15;0.17;-0.83;0.08;0.07;-0.89;-0.08;0.05;-0.89;0.03;-0.00;-0.85;-0.07;0.01;-0.86;-0.17;-0.01;-0.88;-0.03;0.10;-0.84;-0.01;0.10;-0.82;0.04;0.05;-0.86;-0.01;0.03;-0.89;0.02;-0.03;-1.13;0.05;0.00;-1.11;0.20;-0.03;-0.83;0.10;-0.29;-0.61;-0.19;-0.45;-0.89;-0.17;0.06;-0.64;-0.03;-0.07;-0.74;-0.12;-0.10;-0.83;-0.01;-0.26;-0.87;0.07;-0.31;-0.84;0.14;-0.29;-0.89;0.15;-0.31;-0.79;0.10;-0.31;-0.80;0.12;-0.13;-0.72;0.23;-0.00;-0.52;0.09;-0.34;-2.77;-0.07;-0.65;-0.38;1.17;-0.00;-1.10;-0.03;0.00;-0.76;-0.02;0.10;-0.87;-0.04;0.12;-0.87;0.01;0.07;-0.84;-0.02;0.02;-0.88;-0.01;-0.02;-0.85;-0.05;0.01;-0.87;0.02;0.01;-0.79;0.14;0.00;-0.81;-0.05;0.07;-0.81;0.05;0.08;-0.82;0.07;0.07;-0.78;0.02;0.03;-1.08;0.02;-0.01;-1.27;0.06;-0.05;-1.00;0.13;-0.21;0.07;0.03;0.05
-0.85;-0.07;0.01;-0.86;-0.17;-0.01;-0.88;-0.03;0.10;-0.84;-0.01;0.10;-0.82;0.04;0.05;-0.86;-0.01;0.03;-0.89;0.02;-0.03;-1.13;0.05;0.00;-1.11;0.20;-0.03;-0.83;0.10;-0.29;-0.61;-0.19;-0.45;-0.89;-0.17;0.06;-0.64;-0.03;-0.07;-0.74;-0.12;-0.10;-0.83;-0.01;-0.26;-0.87;0.07;-0.31;-0.84;0.14;-0.29;-0.89;0.15;-0.31;-0.79;0.10;-0.31;-0.80;0.12;-0.13;-0.72;0.23;-0.00;-0.52;0.09;-0.34;-2.77;-0.07;-0.65;-0.38;1.17;-0.00;-1.10;-0.03;0.00;-0.76;-0.02;0.10;-0.87;-0.04;0.12;-0.87;0.01;0.07;-0.84;-0.02;0.02;-0.88;-0.01;-0.02;-0.85;-0.05;0.01;-0.87;0.02;0.01;-0.79;0.14;0.00;-0.81;-0.05;0.07;-0.81;0.05;0.08;-0.82;0.07;0.07;-0.78;0.02;0.03;-1.08;0.02;-0.01;-1.27;0.06;-0.05;-1.00;0.13;-0.21;-0.71;-0.11;-0.33;-0.72;-0.36;0.03;-0.60;0.22;-0.01;-0.82;0.00;-0.09;-0.91;-0.25;-0.31;-0.85;-0.13;-0.34;-0.79;0.17;-0.52;-0.82;0.20;-0.29;-0.86;-0.25;-0.17;-0.81;0.01;-0.19;-0.82;0.18;-0.21;-0.60;0.26;-0.49;-1.45;1.44;0.04;-0.33;0.78;0.10;-1.10;0.10;0.03;-0.78;-0.12;0.14;-0.93;-0.16;0.17;-0.82;0.17;0.21;-0.83;-0.08;0.27;-0.85;0.02;0.14;-0.86;0.09;0.06;-0.90;0.01;0.07;-0.84;-0.11;0.10;-0.81;0.09;0.02;-0.86;-0.02;0.01;-0.83;0.06;-0.04;-0.84;-0.10;-0.04;-1.00;-0.07;-0.06;-0.91;0.13;0.05;-1.00;0.19;0.06;-0.96;0.10;-0.22;-0.70;0.02;-0.40;-0.78;-0.15;-0.04;-0.59;0.02;-0.08;-0.77;-0.10;-0.14;-0.82;-0.05;-0.23;-0.82;0.06;-0.28;-0.81;0.07;-0.30;-0.84;0.08;-0.22;-0.86;-0.03;-0.20;0.07;0.06;0.03
-0.78;0.21;-0.21;-0.82;0.14;-0.05;-0.79;0.07;0.05;-0.70;0.17;-0.04;-0.51;0.05;-0.27;-2.16;0.65;0.28;-0.23;1.13;0.03;-1.21;-0.01;0.06;-0.77;-0.10;0.21;-0.84;0.07;0.20;-0.89;0.06;0.16;-0.85;0.03;0.10;-0.88;-0.04;0.08;-0.84;0.11;0.07;-0.85;-0.00;0.08;-0.88;-0.12;0.10;-0.84;0.09;0.11;-0.82;0.10;0.13;-0.83;-0.01;0.12;-0.81;0.01;0.26;-0.87;0.19;0.06;-1.31;0.01;-0.26;-0.92;0.15;-0.23;-0.76;-0.16;-0.21;-0.77;-0.14;0.08;-0.69;0.22;-0.02;-0.80;0.02;-0.12;-0.88;-0.08;-0.19;-0.94;0.05;-0.26;-0.88;0.06;-0.18;-0.82;0.28;-0.17;-0.68;0.13;-0.05;-0.59;-0.16;-0.13;-1.49;-0.29;1.06;-0.43;0.93;0.09;-1.06;0.02;-0.00;-0.83;-0.06;0.03;-0.90;0.13;0.19;-0.85;-0.00;0.16;-0.83;-0.00;0.24;-0.86;0.02;0.18;-0.86;0.04;0.10;-0.87;-0.03;0.04;-0.85;0.08;0.01;-0.88;-0.05;0.07;-0.82;0.08;0.11;-0.84;-0.02;0.17;-0.82;0.02;0.10;-0.80;0.05;0.12;-0.92;-0.00;0.10;-1.26;0.22;-0.06;-1.02;0.02;-0.18;-0.76;-0.06;-0.29;-0.61;-0.19;-0.14;-0.68;0.13;0.08;-0.80;0.13;-0.23;-0.90;-0.09;-0.23;-0.86;0.01;-0.19;-0.94;0.22;-0.18;-0.89;0.18;-0.13;-0.82;0.10;-0.15;-0.66;0.16;-0.23;-0.64;0.22;-0.20;-0.70;-0.44;-1.02;-0.72;-0.44;0.15;-0.97;0.59;0.07;-0.84;0.04;0.06;-0.87;-0.18;0.19;-0.88;-0.01;0.12;-0.85;0.04;0.14;-0.88;-0.10;0.14;-0.81;0.09;0.10;-0.86;-0.03;0.06;-0.81;0.13;0.04;-0.86;0.05;0.01;-0.85;-0.02;0.05;-0.84;0.06;0.02;-0.84;-0.03;0.03;-0.82;0.06;-0.03;-1.10;0.03;0.08;0.05;0.05;0.05
